Radon Tracer Results

Date-Time of Calculation: 2018-01-04T18:48:31.704

Values: 12, 12, 100, 5, 10, 24
E.quake # 57.0			Anomaly at index: 3855		Value: 6.286			Time: Sun Oct 28 10:49:44 EET 2012

Anomaly # 86.0			Anomaly at index: 25369		Value: 107.52		Time: Sat Oct 27 16:10:00 EEST 2012
E.quake # 58.0			Anomaly at index: 3855		Value: 6.286			Time: Sun Oct 28 10:49:44 EET 2012

Anomaly # 87.0			Anomaly at index: 25370		Value: 101.888		Time: Sat Oct 27 16:20:00 EEST 2012
E.quake # 59.0			Anomaly at index: 3855		Value: 6.286			Time: Sun Oct 28 10:49:44 EET 2012

Anomaly # 88.0			Anomaly at index: 25371		Value: 104.448		Time: Sat Oct 27 16:30:00 EEST 2012
E.quake # 60.0			Anomaly at index: 3855		Value: 6.286			Time: Sun Oct 28 10:49:44 EET 2012

Anomaly # 89.0			Anomaly at index: 25372		Value: 109.056		Time: Sat Oct 27 16:40:00 EEST 2012
E.quake # 61.0			Anomaly at index: 3855		Value: 6.286			Time: Sun Oct 28 10:49:44 EET 2012

Anomaly # 90.0			Anomaly at index: 25373		Value: 104.448		Time: Sat Oct 27 16:50:00 EEST 2012
E.quake # 62.0			Anomaly at index: 3855		Value: 6.286			Time: Sun Oct 28 10:49:44 EET 2012

Anomaly # 91.0			Anomaly at index: 25374		Value: 100.352		Time: Sat Oct 27 17:00:00 EEST 2012
E.quake # 63.0			Anomaly at index: 3855		Value: 6.286			Time: Sun Oct 28 10:49:44 EET 2012

Anomaly # 92.0			Anomaly at index: 25375		Value: 109.056		Time: Sat Oct 27 17:10:00 EEST 2012
E.quake # 64.0			Anomaly at index: 3855		Value: 6.286			Time: Sun Oct 28 10:49:44 EET 2012

Anomaly # 93.0			Anomaly at index: 25376		Value: 102.912		Time: Sat Oct 27 17:20:00 EEST 2012
E.quake # 65.0			Anomaly at index: 3855		Value: 6.286			Time: Sun Oct 28 10:49:44 EET 2012

Anomaly # 94.0			Anomaly at index: 25377		Value: 105.984		Time: Sat Oct 27 17:30:00 EEST 2012
E.quake # 66.0			Anomaly at index: 3855		Value: 6.286			Time: Sun Oct 28 10:49:44 EET 2012

Anomaly # 95.0			Anomaly at index: 25378		Value: 100.352		Time: Sat Oct 27 17:40:00 EEST 2012
E.quake # 67.0			Anomaly at index: 3855		Value: 6.286			Time: Sun Oct 28 10:49:44 EET 2012

Anomaly # 96.0			Anomaly at index: 25379		Value: 105.472		Time: Sat Oct 27 17:50:00 EEST 2012
E.quake # 68.0			Anomaly at index: 3855		Value: 6.286			Time: Sun Oct 28 10:49:44 EET 2012

Anomaly # 97.0			Anomaly at index: 25380		Value: 107.008		Time: Sat Oct 27 18:00:00 EEST 2012
E.quake # 69.0			Anomaly at index: 3855		Value: 6.286			Time: Sun Oct 28 10:49:44 EET 2012

Anomaly # 98.0			Anomaly at index: 25381		Value: 107.52		Time: Sat Oct 27 18:10:00 EEST 2012
E.quake # 70.0			Anomaly at index: 3855		Value: 6.286			Time: Sun Oct 28 10:49:44 EET 2012

Anomaly # 99.0			Anomaly at index: 25382		Value: 101.888		Time: Sat Oct 27 18:20:00 EEST 2012
E.quake # 71.0			Anomaly at index: 3855		Value: 6.286			Time: Sun Oct 28 10:49:44 EET 2012

Anomaly # 100.0			Anomaly at index: 25383		Value: 103.424		Time: Sat Oct 27 18:30:00 EEST 2012
E.quake # 72.0			Anomaly at index: 3855		Value: 6.286			Time: Sun Oct 28 10:49:44 EET 2012

Anomaly # 101.0			Anomaly at index: 25384		Value: 105.984		Time: Sat Oct 27 18:40:00 EEST 2012
E.quake # 73.0			Anomaly at index: 3855		Value: 6.286			Time: Sun Oct 28 10:49:44 EET 2012

Anomaly # 102.0			Anomaly at index: 25385		Value: 99.328		Time: Sat Oct 27 18:50:00 EEST 2012
E.quake # 74.0			Anomaly at index: 3855		Value: 6.286			Time: Sun Oct 28 10:49:44 EET 2012

