2012-05-03-19-27-47,124.29,2.5,4.673
2012-05-03-19-29-50,128.808,3.1,5.236
2012-05-03-19-34-28,126.353,3,5.156
2012-05-03-19-39-59,129.688,2.8,4.929
2012-05-03-19-47-30,125.643,2.7,4.862
2012-05-03-20-00-46,125.587,2,4.163
2012-05-03-20-07-21,125.709,2.1,4.262
2012-05-03-20-10-09,133.73,4.4,6.497
2012-05-03-20-17-02,129.29,3,5.132
2012-05-03-20-34-55,129.78,2.4,4.528
2012-05-03-20-38-02,132.895,2.2,4.304
2012-05-03-20-43-14,125.807,3.3,5.461
2012-05-03-20-45-35,133.328,2,4.1
2012-05-03-20-51-20,129.221,2.2,4.333
2012-05-03-21-05-03,132.746,3,5.105
2012-05-03-21-08-31,126.137,2.3,4.458
2012-05-03-21-10-35,127.786,3.6,5.744
2012-05-03-21-15-30,128.747,3,5.137
2012-05-03-21-29-25,129.859,2.8,4.928
2012-05-03-21-32-38,131.576,3.8,5.914
2012-05-03-21-38-29,127.819,2,4.144
2012-05-03-22-02-43,121.037,2,4.201
2012-05-03-22-05-51,124.829,2,4.169
2012-05-03-22-10-36,127.852,2.8,4.944
2012-05-03-22-14-14,125.711,2.4,4.562
2012-05-03-22-17-52,135.346,2,4.085
2012-05-03-22-21-21,128.592,2.2,4.338
2012-05-03-22-25-51,126.693,2,4.153
2012-05-03-22-34-19,134.096,2.9,4.994
2012-05-03-22-44-32,130.171,2.7,4.825
2012-05-03-22-48-39,130.065,3,5.126
2012-05-03-22-57-57,133.544,2,4.098
2012-05-03-23-00-17,124.095,2.2,4.375
2012-05-03-23-20-12,125.331,2.7,4.865
2012-05-03-23-24-08,124.613,2.5,4.671
2012-05-03-23-28-30,126.409,3.5,5.656
2012-05-03-23-36-39,127.818,2.3,4.444
2012-05-03-23-44-01,128.603,3.8,5.938
2012-05-03-23-52-32,125.98,2.1,4.259
2012-05-04-00-12-01,122.963,2,4.185
2012-05-04-00-19-31,128.553,2.5,4.638
2012-05-04-00-25-39,123.122,2.1,4.283
2012-05-04-00-33-01,128.602,2,4.138
2012-05-04-00-35-34,127.69,2.6,4.745
2012-05-04-00-42-39,126.061,2.2,4.359
2012-05-04-00-45-17,132.077,4.7,6.81
2012-05-04-00-49-49,124.649,2.5,4.67
2012-05-04-00-55-39,130.893,2.4,4.519
2012-05-04-00-57-25,125.37,2.2,4.364
2012-05-04-00-59-25,127.97,2,4.143
2012-05-04-01-07-40,133.276,2.2,4.301
2012-05-04-01-13-14,122.221,2.2,4.391
2012-05-04-01-17-50,124.773,3,5.169
2012-05-04-01-38-14,126.265,2.3,4.457
2012-05-04-02-16-52,125.518,2.1,4.263
2012-05-04-02-18-39,122.203,2.1,4.291
2012-05-04-02-22-53,127.896,2.5,4.644
2012-05-04-02-22-54,126.585,2.8,4.954
2012-05-04-02-29-39,123.832,2.2,4.377
2012-05-04-02-40-43,123.612,2.4,4.579
2012-05-04-02-45-55,125.805,2,4.161
2012-05-04-03-02-17,127.718,3.5,5.645
2012-05-04-03-07-26,127.932,2.4,4.543
2012-05-04-03-08-24,127.253,2.2,4.349
2012-05-04-03-16-41,126.536,1.9,4.055
2012-05-04-03-19-21,129.528,1.9,4.03
2012-05-04-03-24-44,179.577,2.5,4.29
2012-05-04-03-26-51,127.569,2,4.146
2012-05-04-03-32-23,121.579,2,4.196
